DomesticG,PBudget,RDate,Title,WorldwideG
"$54,858,851","$132,900,000","Nov 2, 2018",The Nutcracker and the Four Realms,"$170,293,899"
"$234,280,354","$132,000,000","Jun 29, 2005",War of the Worlds,"$606,836,535"
"$83,350,911","$132,000,000","Nov 26, 2014",Penguins of Madagascar,"$366,942,531"
"$424,668,047","$130,000,000","Nov 22, 2013",The Hunger Games: Catching Fire,"$864,868,047"
"$249,757,726","$130,000,000","Jun 4, 2004",Harry Potter and the Prisoner of Azkaban,"$796,907,323"
"$227,471,070","$130,000,000","Aug 3, 2007",The Bourne Ultimatum,"$444,043,396"
"$216,648,740","$130,000,000","Jul 6, 2018",Ant-Man and the Wasp,"$623,144,660"
"$215,434,591","$130,000,000","Jun 6, 2008",Kung Fu Panda,"$631,910,531"
"$180,202,163","$130,000,000","Jul 17, 2015",Ant-Man,"$518,858,449"
"$177,397,510","$130,000,000","Mar 27, 2015",Home,"$385,997,896"
"$171,958,438","$130,000,000","Dec 19, 2018",Mary Poppins Returns,"$343,804,158"
"$149,260,504","$130,000,000","Oct 28, 2011",Puss in Boots,"$554,987,477"
"$148,415,853","$130,000,000","Nov 5, 2010",Megamind,"$321,887,208"
"$138,540,870","$130,000,000","Jul 18, 2003",Bad Boys II,"$273,271,982"
"$131,538,435","$130,000,000","Apr 11, 2014",Rio 2,"$492,846,291"
"$118,311,368","$130,000,000","Jul 23, 2010",Salt,"$290,650,494"
"$101,200,044","$130,000,000","Mar 28, 2014",Noah,"$352,831,065"
"$77,591,831","$130,000,000","Dec 21, 2011",The Adventures of Tintin,"$373,993,951"
"$60,522,097","$130,000,000","May 31, 2013",After Earth,"$251,499,665"
"$49,554,002","$130,000,000","Nov 26, 2008",Australia,"$215,080,810"
"$33,618,855","$130,000,000","Jul 19, 2013",R.I.P.D.,"$79,076,678"
"$160,150,710","$129,000,000","Feb 22, 2019",How to Train Your Dragon: The Hidden World,"$517,305,982"
"$281,287,133","$127,500,000","Nov 18, 2011","The Twilight Saga: Breaking Dawn, Part 1","$689,420,051"
"$137,748,063","$127,500,000","May 19, 2000",Dinosaur,"$356,148,063"
"$226,277,068","$127,000,000","Mar 3, 2017",Logan,"$615,461,394"
"$113,746,621","$127,000,000","Dec 19, 2014",Night at the Museum: Secret of the Tomb,"$353,756,621"
"$381,193,157","$125,000,000","Jul 15, 2011",Harry Potter and the Deathly Hallows: Part II,"$1,341,693,157"
"$337,135,885","$125,000,000","Nov 21, 2014",The Hunger Games: Mockingjay - Part 1,"$766,575,131"
"$317,871,467","$125,000,000","Nov 16, 2001",Harry Potter and the Sorcererâ€™s Stone,"$975,047,606"
"$296,131,568","$125,000,000","Nov 19, 2010",Harry Potter and the Deathly Hallows: Part I,"$960,431,568"
"$217,536,138","$125,000,000","May 19, 2006",The Da Vinci Code,"$767,820,459"
"$214,949,694","$125,000,000","May 2, 2003",X-Men 2,"$406,875,536"
"$210,031,325","$125,000,000","Apr 29, 2011",Fast Five,"$630,163,454"
"$191,204,754","$125,000,000","Aug 8, 2014",Teenage Mutant Ninja Turtles,"$485,004,754"
"$186,848,418","$125,000,000","Dec 16, 2011",Sherlock Holmes: A Game of Shadows,"$535,663,443"
"$186,740,799","$125,000,000","May 28, 2004",The Day After Tomorrow,"$556,319,450"
"$175,003,033","$125,000,000","Mar 31, 2017",The Boss Baby,"$510,878,762"
"$163,214,888","$125,000,000","Apr 1, 2010",Clash of the Titans,"$493,214,888"
"$153,707,064","$125,000,000","Nov 4, 2016",Trolls,"$344,072,233"
"$136,314,294","$125,000,000","May 19, 1998",Godzilla,"$376,000,000"
"$126,477,084","$125,000,000","Jun 8, 2012",Prometheus,"$402,448,265"
"$113,203,870","$125,000,000","Aug 10, 2012",The Bourne Legacy,"$280,355,920"
"$107,325,195","$125,000,000","Jun 20, 1997",Batman & Robin,"$238,317,814"
"$68,420,120","$125,000,000","Jul 13, 2018",Skyscraper,"$304,115,534"
"$58,877,969","$125,000,000","Aug 3, 2012",Total Recall,"$211,856,088"
"$54,647,948","$125,000,000","Dec 21, 2016",Assassinâ€™s Creed,"$240,759,682"
"$33,370,166","$125,000,000","Jan 13, 2017",Monster Trucks,"$61,642,798"
"$32,698,899","$125,000,000","Aug 27, 1999",The 13th Warrior,"$61,698,899"
"$260,044,825","$123,000,000","Nov 17, 2000",How the Grinch Stole Christmas,"$345,141,403"
"$215,409,889","$120,000,000","May 24, 2000",Mission: Impossible 2,"$549,588,516"
"$182,618,434","$120,000,000","Jun 30, 2000",The Perfect Storm,"$328,711,434"
"$162,192,920","$120,000,000","Jul 29, 2016",Jason Bourne,"$416,168,316"
"$131,921,738","$120,000,000","Jun 15, 2007",Fantastic Four: Rise of the Silver Surfer,"$289,480,691"
"$124,987,022","$120,000,000","Nov 21, 2012",Life of Pi,"$620,912,003"
"$115,802,596","$120,000,000","Feb 16, 2007",Ghost Rider,"$229,545,589"
"$101,028,233","$120,000,000","Apr 13, 2018",Rampage,"$428,056,280"
"$100,814,328","$120,000,000","Jun 27, 2003",Charlie's Angels: Full Throttle,"$227,200,000"
"$93,050,117","$120,000,000","Aug 9, 2013",Elysium,"$286,192,091"
"$89,107,235","$120,000,000","Apr 19, 2013",Oblivion,"$287,916,633"
"$85,364,450","$120,000,000","Mar 24, 2017",Power Rangers,"$142,531,552"
"$64,956,806","$120,000,000","Jul 19, 2002",Stuart Little 2,"$166,000,000"
"$58,607,007","$120,000,000","Feb 12, 2014",RoboCop,"$242,981,799"
"$57,712,751","$120,000,000","Jun 11, 2004",The Chronicles of Riddick,"$107,212,751"
"$56,117,548","$120,000,000","Aug 7, 2015",Fantastic Four,"$167,849,187"
"$43,945,766","$120,000,000","May 9, 2008",Speed Racer,"$93,394,462"
"$35,818,913","$120,000,000","Jul 22, 2005",The Island,"$163,018,913"
"$30,212,620","$120,000,000","Dec 17, 2010",How Do You Know?,"$49,628,177"
,,,,
"$76,423,035","$117,000,000","Jun 23, 2010",Knight and Day,"$258,751,370"
"$213,511,408","$116,000,000","Oct 5, 2018",Venom,"$853,628,605"
"$474,544,677","$115,000,000","May 19, 1999",Star Wars Ep. I: The Phantom Menace,"$1,027,044,677"
"$380,270,577","$115,000,000","May 19, 2005",Star Wars Ep. III: Revenge of the Sith,"$848,998,877"
"$310,676,740","$115,000,000","May 16, 2002",Star Wars Ep. II: Attack of the Clones,"$656,695,615"
"$289,423,425","$115,000,000","Nov 2, 2001","Monsters, Inc.","$559,757,719"
"$132,556,852","$115,000,000","Jul 26, 2013",The Wolverine,"$416,456,852"
"$67,163,857","$115,000,000","Feb 7, 1997",Dante's Peak,"$178,200,000"
"$48,003,015","$115,000,000","Apr 22, 2016",The Huntsman: Winterâ€™s War,"$165,149,302"
"$40,914,068","$115,000,000","Jun 14, 2002",Windtalkers,"$77,628,265"
"$999,811","$113,500,000","Jul 4, 2008",AstÃ©rix aux Jeux Olympiques,"$132,999,811"
"$42,779,261","$112,000,000","Dec 25, 2010",Gulliver's Travels,"$232,017,848"
"$84,410,380","$111,000,000","Dec 15, 2017",Ferdinand,"$289,859,163"
"$324,591,735","$110,000,000","May 18, 2018",Deadpool 2,"$786,680,557"
"$274,092,705","$110,000,000","Oct 4, 2013",Gravity,"$693,698,673"
"$250,863,268","$110,000,000","Dec 22, 2006",Night at the Museum,"$579,446,407"
"$186,336,279","$110,000,000","Jun 10, 2005",Mr. and Mrs. Smith,"$486,124,090"
"$155,190,832","$110,000,000","May 29, 2015",San Andreas,"$456,258,539"
"$142,614,158","$110,000,000","Jul 29, 2011",The Smurfs,"$563,749,323"
"$134,529,403","$110,000,000","Jun 27, 2007",Live Free or Die Hard,"$382,288,147"
"$130,179,072","$110,000,000","Mar 20, 2015",The Divergent Series: Insurgent,"$295,075,882"
"$125,531,634","$110,000,000","Dec 10, 2004",Ocean's Twelve,"$362,989,076"
"$125,304,276","$110,000,000","Dec 19, 1997",Tomorrow Never Dies,"$339,504,276"
"$113,330,342","$110,000,000","Jun 28, 2000",The Patriot,"$215,300,000"
"$106,580,051","$110,000,000","Mar 7, 2014",300: Rise of an Empire,"$330,780,051"
"$102,608,827","$110,000,000","Dec 17, 2004",The Aviator,"$208,370,892"
"$100,014,699","$110,000,000","Dec 21, 2016",Passengers,"$302,239,672"
"$98,780,042","$110,000,000","Jan 14, 2011",The Green Hornet,"$229,155,503"
"$87,242,834","$110,000,000","Sep 30, 2016",Miss Peregrineâ€™s Home for Peculiar Children,"$295,986,876"
"$85,463,309","$110,000,000","Oct 7, 2011",Real Steel,"$263,880,341"
"$77,222,099","$110,000,000","Jun 11, 2010",The A-Team,"$177,241,171"
"$71,017,784","$110,000,000","Jul 31, 2013",The Smurfs 2,"$348,547,523"
"$66,184,051","$110,000,000","Mar 18, 2016",The Divergent Series: Allegiant,"$172,022,517"
"$65,452,312","$110,000,000","Jun 12, 2009",The Taking of Pelham 123,"$152,364,370"
"$61,737,191","$110,000,000","Nov 1, 2013",Ender's Game,"$127,983,283"
"$50,026,353","$110,000,000","Apr 2, 2004",Home on the Range,"$76,482,461"
"$48,097,081","$110,000,000","Jun 13, 1997",Speed 2: Cruise Control,"$150,468,000"
"$47,398,413","$110,000,000","May 6, 2005",Kingdom of Heaven,"$218,853,353"
"$40,563,557","$110,000,000","Mar 31, 2017",Ghost in the Shell,"$167,910,690"
"$24,004,159","$110,000,000","Jun 16, 2004",Around the World in 80 Days,"$72,004,159"
"$315,544,750","$109,000,000","Dec 19, 2001",The Lord of the Rings: The Fellowship of the Ring,"$887,210,985"
"$101,018,283","$109,000,000","Nov 21, 2003",The Cat in the Hat,"$133,818,283"
"$58,183,966","$109,000,000","Dec 25, 2001",Ali,"$87,683,966"
"$228,433,663","$108,000,000","Oct 2, 2015",The Martian,"$655,271,443"
"$40,098,064","$106,000,000","Nov 23, 2016",Allied,"$119,266,661"
"$144,801,023","$105,000,000","Jul 16, 2004","I, Robot","$348,629,585"
"$140,015,224","$105,000,000","Dec 17, 1999",Stuart Little,"$298,815,224"
"$104,400,899","$105,000,000","Nov 25, 2009",The Princess and the Frog,"$270,997,378"
"$94,784,201","$105,000,000","Mar 7, 2008","10,000 B.C.","$269,065,678"
"$64,063,008","$105,000,000","Jul 22, 2016",Ice Age: Collision Course,"$402,156,682"
"$6,712,451","$105,000,000","Apr 27, 2001",Town & Country,"$10,364,769"
